id	format	frameRate	sampleRate	audioCodec	videoCodec	size	duration	width	height	notation	thumbnailName	dateAddedMicroseconds	absolutePath
0714555D026FD83D1DD7424AC178ABABDECB2303543F9A1CB9EE1F11124BF6DA939DEE658DD505CD7E1134C3CD61E9339255DC712DF6E7E3AEEA38EC5AD55BEE	QuickTime / MOV	29.97	48000	aac	h264	2162580	27.584	480	270	0	0714555D026FD83D1DD7424AC178ABABDECB2303543F9A1CB9EE1F11124BF6DA939DEE658DD505CD7E1134C3CD61E9339255DC712DF6E7E3AEEA38EC5AD55BEE.jpg	1510860836024679	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\581942998.mp4
A4208F29C6E484DDFDA48680EF200D8E02200937032B85349ED500744F987415C26327C3F7C82AB16522DA25BC8E100B6BA73257892D944A08F0F1394EF37DFA	QuickTime / MOV	24	0		h264	410695	14.709	480	270	0	A4208F29C6E484DDFDA48680EF200D8E02200937032B85349ED500744F987415C26327C3F7C82AB16522DA25BC8E100B6BA73257892D944A08F0F1394EF37DFA.jpg	1510860836055931	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\634937601.mp4
0BE6F6D701417D755A78CEDC9544CF6224FBC5F3B43982E5E81BED68D3452BAEA253D76D193D8AFB5431EC0F2D483916DCBDDB9AEF9333728ED0957EDDF1DA15	QuickTime / MOV	29.97	48000	aac	h264	1201734	22.187	480	270	0	0BE6F6D701417D755A78CEDC9544CF6224FBC5F3B43982E5E81BED68D3452BAEA253D76D193D8AFB5431EC0F2D483916DCBDDB9AEF9333728ED0957EDDF1DA15.jpg	1510860836071557	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\636847799.mp4
20B2A876039A50BEA8AEA65A2EA0E149E57D7C991363BD3F2919C22BE0CE7FFC4EEBF997E0E2DD63FF192D0667980FDDFAD82490F8A7F59C35511649F33E54E3	QuickTime / MOV	25	0		h264	641186	11.44	480	270	0	20B2A876039A50BEA8AEA65A2EA0E149E57D7C991363BD3F2919C22BE0CE7FFC4EEBF997E0E2DD63FF192D0667980FDDFAD82490F8A7F59C35511649F33E54E3.jpg	1510860836102810	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\672653476.mp4
C3E93B523813D8108286EF8A93F5B2FAA3758AD17832E3FBFA0EED556BA3E1DB0812D3152996068AE0FE3672672EF484809C9892ECB73FF9466477D50C3293F2	QuickTime / MOV	25	48000	aac	h264	1465108	25.28	480	270	0	C3E93B523813D8108286EF8A93F5B2FAA3758AD17832E3FBFA0EED556BA3E1DB0812D3152996068AE0FE3672672EF484809C9892ECB73FF9466477D50C3293F2.jpg	1510860836118439	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\678597083.mp4
71914DAE84591F891439EDADE955C0ABF47B41AFA7558F5A68D0ECAB286896FFFD145A3EE444F4A78BA13BC92B82104D2D3AA41029C77C6A0734866284BD2808	QuickTime / MOV	25	48000	aac	h264	813611	15.787	480	270	0	71914DAE84591F891439EDADE955C0ABF47B41AFA7558F5A68D0ECAB286896FFFD145A3EE444F4A78BA13BC92B82104D2D3AA41029C77C6A0734866284BD2808.jpg	1510860836149718	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\694852395.mp4
288AA3ABD1D32D608D3111572475DD197B3511E1BBE8B6931DDE7D6553246017E22DF968329191B14C3AD5DFD3214F79C7E8FA5DCD8BADF03CF646F769CAF1E7	QuickTime / MOV	25	48000	aac	h264	1618229	14.592	480	270	0	288AA3ABD1D32D608D3111572475DD197B3511E1BBE8B6931DDE7D6553246017E22DF968329191B14C3AD5DFD3214F79C7E8FA5DCD8BADF03CF646F769CAF1E7.jpg	1510860836180944	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\706896679.mp4
AAC0CDF3E85A6B5F57C2102FA726049E47DDB94C7F31BB1D91483B98221F750545B0C3156FA604C2E99DF0D3C63DA89213BAA3AD02FA80D18905871FEFD44D66	QuickTime / MOV	25	48000	aac	h264	507351	16.512	480	270	0	AAC0CDF3E85A6B5F57C2102FA726049E47DDB94C7F31BB1D91483B98221F750545B0C3156FA604C2E99DF0D3C63DA89213BAA3AD02FA80D18905871FEFD44D66.jpg	1510860836196597	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\712988036.mp4
96EA249443EDEABE3F49D2BBFAFA1F5176FCAEC5755C321B98D11FDB90DFB8F93D70917BA6E8FF57F5209725ED9FEEB1E0FB5CF868A671391A7D717C5A59C59A	QuickTime / MOV	29.97	48000	aac	h264	536117	13.248	480	270	0	96EA249443EDEABE3F49D2BBFAFA1F5176FCAEC5755C321B98D11FDB90DFB8F93D70917BA6E8FF57F5209725ED9FEEB1E0FB5CF868A671391A7D717C5A59C59A.jpg	1510860836227824	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\739124350.mp4
54D8CD485F1C9579E96CD4958E7CAFE8B29F3C1BAC7CC2B83B0C80E0511D03810BEE2DDB1B01BB4DAF4F4635359624AAB21349E31FA1B3E1EB6C20D37BAEE4BC	QuickTime / MOV	25	0		h264	352435	10.92	480	270	0	54D8CD485F1C9579E96CD4958E7CAFE8B29F3C1BAC7CC2B83B0C80E0511D03810BEE2DDB1B01BB4DAF4F4635359624AAB21349E31FA1B3E1EB6C20D37BAEE4BC.jpg	1510860836243451	C:\Users\notoraptor\mila\dev\git\cigmar\res\video\762142336.mp4
